A[32] B[32] Cin C[32] V
958187128	726005729	1	1684192858	0
134084443	-842804699	0	-708720256	0
-758031529	893587905	1	135556377	0
224647420	528604511	1	753251932	0
-436203880	-788838954	1	-1225042833	0
-964117653	102951899	1	-861165753	0
367896623	725994098	0	1093890721	0
932680450	855698499	1	1788378950	0
-776839092	-551068364	0	-1327907456	0
182952809	811024141	0	993976950	0
497612052	-224012336	0	273599716	0
-381586311	446951349	0	65365038	0
-213725854	835345811	0	621619957	0
-636401531	-853067625	0	-1489469156	0
821771646	917302995	0	1739074641	0
-237902111	-559374505	0	-797276616	0
-1073541839	641710717	1	-431831121	0
1065709287	896617265	1	1962326553	0
233461998	-567912448	1	-334450449	0
66965516	368278765	1	435244282	0
-475938489	-342969209	0	-818907698	0
-423114495	327487961	0	-95626534	0
1070387526	23917697	0	1094305223	0
100119221	31645938	1	131765160	0
841224732	-632648278	1	208576455	0
433129790	-305532265	0	127597525	0
-657309573	311428912	1	-345880660	0
-22889742	625622314	0	602732572	0
-213411020	550926045	1	337515026	0
-581192393	-1036472725	0	-1617665118	0
710847970	-478392041	0	232455929	0
-712058275	-259437928	0	-971496203	0
-500876625	757747850	1	256871226	0
459627712	431768148	0	891395860	0
-366973890	-382013527	1	-748987416	0
135687284	66236086	1	201923371	0
-198942195	438065115	0	239122920	0
802540680	270521543	0	1073062223	0
169251902	-739154507	0	-569902605	0
227275158	-34802121	0	192473037	0
138620924	-415432372	0	-276811448	0
-707142514	1071444522	0	364302008	0
-1032569817	-758206968	1	-1790776784	0
901782625	-401115845	1	500666781	0
430578368	1021557021	1	1452135390	0
363047296	-637435832	1	-274388535	0
715364612	-944197098	0	-228832486	0
48391358	-1065801952	0	-1017410594	0
7524928	-649412713	1	-641887784	0
-1057322985	-601731149	1	-1659054133	0
-956984672	52593676	0	-904390996	0
380108116	-388512134	1	-8404017	0
928119165	234172534	0	1162291699	0
-1012913869	46444354	0	-966469515	0
737548398	730728867	0	1468277265	0
-666657430	522111665	0	-144545765	0
13677871	643855741	0	657533612	0
-691203315	817274858	1	126071544	0
121939824	-234087371	0	-112147547	0
-737923778	-620253472	1	-1358177249	0
